Source	Target	IntType	TrueNNVeri	Weight
miR-92a	COL9A1	Activate	0	0.133809
miR-92a	CREG2	Activate	0	0.087412
miR-92a	CRYGN	Activate	0	0.002916
miR-92a	CSF1R	Activate	0	0.458996
miR-92a	CTH	Activate	0	0.323271
miR-92a	CTPS2	Activate	0	0.311835
miR-92a	CXCL16	Activate	1	0.050374
miR-92a	CXORF23	Activate	0	0.231684
miR-92a	CXORF38	Activate	0	0.072387
miR-92a	CYFIP2	Activate	0	0.014894
miR-92a	CYGB	Inhabit	0	-3.256427
miR-92a	CYP1A2	Activate	0	0.156375
miR-92a	CYP7B1	Activate	0	0.092457
miR-92a	DAK	Activate	0	0.016937
miR-92a	DDR1	Activate	0	0.507474
miR-92a	DDX26B	Activate	0	0.215114
miR-92a	DHX36	Activate	0	0.114702
miR-92a	DICER1	Activate	0	0.245437
miR-92a	DLK1	Activate	0	0.921507
miR-92a	DMXL2	Activate	0	0.442741
miR-92a	DPF1	Activate	0	0.140551
miR-92a	DST	Activate	0	0.300032
miR-92a	DUOX1	Activate	0	0.216732
miR-92a	DUS3L	Activate	0	0.155023
miR-92a	DYNLT1	Activate	0	0.178482
miR-92a	ECT2L	Activate	0	0.200842
miR-92a	EFHD1	Activate	0	0.056958
miR-92a	EHD1	Activate	0	0.369068
miR-92a	EID3	Activate	0	0.297185
miR-92a	EIF4G3	Activate	0	0.191959
miR-92a	EIF5	Activate	0	0.247111
miR-92a	EMILIN3	Activate	0	0.006037
miR-92a	ENPP5	Activate	0	0.223860
miR-92a	EPS15	Activate	0	0.025252
miR-92a	EWSR1	Activate	0	0.301047
miR-92a	FAM117B	Activate	0	0.158315
miR-92a	FAM120A	Activate	0	0.188954
miR-92a	FAM120C	Activate	0	0.033858
miR-92a	FAM122B	Activate	0	0.181253
miR-92a	FAM149B1	Activate	0	0.433877
miR-92a	FANCD2	Activate	0	0.065290
miR-92a	FBN1	Activate	1	0.542149
miR-92a	FBRSL1	Activate	0	0.335609
miR-92a	FBXW2	Activate	0	0.384507
miR-92a	FHL3	Activate	1	0.940135
miR-92a	FMNL1	Activate	0	0.222270
miR-92a	FSTL1	Activate	1	1.037489
miR-92a	GAPT	Activate	0	0.384980
miR-92a	GCN1L1	Activate	0	0.544610
miR-92a	GIT2	Activate	1	0.560560
miR-92a	GLI3	Activate	0	0.165629
miR-92a	GNAI3	Activate	0	0.371180
miR-92a	GNG2	Activate	0	0.216295
miR-92a	GPR143	Activate	0	0.140662
miR-92a	GPR64	Activate	0	0.033187
miR-92a	GPT2	Activate	0	0.577104
miR-92a	GRIK5	Activate	0	0.388438
miR-92a	GSG1	Activate	0	0.245204
miR-92a	GUCA1B	Activate	0	0.170188
miR-92a	GXYLT1	Activate	0	0.257241
miR-92a	HCN4	Activate	0	0.312951
miR-92a	HMGB4	Activate	0	0.251802
miR-92a	HSPA5	Activate	0	0.204447
miR-92a	HTRA3	Activate	0	0.058995
miR-92a	IL1RAP	Activate	0	0.239423
miR-92a	ITPR2	Activate	0	0.122980
miR-92a	JAM3	Activate	0	0.194575
miR-92a	JAZF1	Activate	0	0.061020
miR-92a	KANSL1	Activate	0	0.195367
miR-92a	KAT7	Activate	0	0.129979
miR-92a	KCNA6	Activate	0	0.425613
miR-92a	KCNJ3	Activate	0	0.023204
miR-92a	KCNK1	Activate	0	0.288167
miR-92a	KCNK6	Activate	0	0.537691
miR-92a	KCNMA1	Activate	0	0.068956
miR-92a	KIAA0754	Activate	0	0.094636
miR-92a	KIAA1147	Activate	0	0.190939
miR-92a	KIAA1161	Activate	0	0.018899
miR-92a	KIAA1598	Activate	0	0.018059
