incR0	lncipediaID	Case1	Case2	Case3	control1	control2	control3
incR53	lnc-ADAMTS8-2:1	2.6161592	2.8785887	3.0897985	2.2002969	0.87883717	1.3107038
incR54	lnc-ADAMTS8-3:1	4.367297	3.7692192	3.7850394	3.434935	3.4476757	3.1522892
incR55	lnc-ADAR-2:3	7.363276	7.284642	7.2470546	6.9241014	6.8415265	6.833006
incR56	lnc-ADC-2:1	1.7148517	1.787066	1.2188525	0.91392237	1.2410228	0.88848555
incR57	lnc-ADRBK2-2:1	5.1177754	5.195952	5.2517	4.901818	4.367191	4.570789
incR58	lnc-AEBP2-3:1	4.959695	4.575857	3.5002584	2.3931932	3.004826	3.08014
incR59	lnc-AGBL1-12:1	5.526278	5.622577	5.848195	5.3227525	5.069888	4.3390055
incR60	lnc-AGBL1-3:1	4.406185	3.8623462	4.106303	3.5598357	3.7849054	3.426044
incR61	lnc-AGBL3-3:2	9.773022	9.868912	9.403016	9.415297	9.218233	8.978515
incR62	lnc-AGTPBP1-4:1	6.691519	6.0670485	5.9911337	5.1182714	5.497613	5.6549144
incR63	lnc-AHDC1-3:1	1.8005745	2.2268531	2.1041794	1.1568253	1.472798	1.2179153
incR64	lnc-AHSG-1:1	3.448707	3.3175068	4.0280595	1.9652097	2.8892434	2.2716103
incR65	lnc-AKR1D1-4:1	6.7398386	6.4373803	6.3667126	6.210468	5.9729676	6.1087284
incR66	lnc-AL137003.1-2:1	3.888043	3.2127523	2.9129074	2.281421	2.0866663	2.2617168
incR67	lnc-AL137798.1-8:1	2.7784965	3.0063004	2.0962698	1.5248041	1.0534619	1.6380851
incR68	lnc-AL138831.1-1:1	4.410432	3.8012261	3.8808103	3.2058954	3.013894	3.4206555
incR69	lnc-AL354898.1-3:1	6.7378817	6.3480387	6.653685	6.3033113	5.474392	5.2190204
incR70	lnc-AL391421.1-11:1	1.571272	2.4139013	1.7661542	1.0817431	1.064661	1.0544851
incR71	lnc-AL445665.1-4:1	4.579995	4.933829	4.2322974	3.9682157	2.0152075	3.4742124
incR72	lnc-AL669831.1-1:11	3.927582	3.5787597	3.625895	2.2030666	2.8903975	2.8662767
incR73	lnc-ALKBH4-6:1	2.0998502	2.460948	1.9933702	1.5235858	1.0445257	1.0782557
incR74	lnc-AMD1-4:1	1.5988508	2.195124	2.034244	0.851617	0.82356125	0.8250542
